Cell_type	Gene_symbol	Gene_chr	Gene_TSS	Gene_Case_pct	GGene_Control_pct	ene_sc_Log2FC	Gene_sc_p_val_adj	Gene_bulk_Log2FC	Gene_bulk_pval	Peak_chr	Peak_start	Peak_end	Peak_sc_log2FC	Peak_sc_p_val_adj	Peak_bulk_Log2FC	Peak_bulk_pval	ATAC_RNA_Bayesian_prob	TFs
CD4 Naive	CITED2	6	139374648	0.302000	0.224000	0.225350	3.74404E-76	0.513929	0.0197922	6	139395975	139396475	-0.942264	7.51618E-05	-0.938226	0.00024643	0.977134	
CD4 Naive	CLK1	2	200864658	0.322000	0.280000	0.137661	6.44348E-25	0.465805	7.11989E-06	2	200443297	200443797	-0.522996	0.00016449	-0.490656	0.00941467	0.986877	BCL6(0.96), 
CD4 Naive	DBP	19	48637379	0.076000	0.170000	-0.100784	3.8134E-102	-1.829162	4.02454E-12	19	48397793	48398293	1.553602	0.0373934	1.923911	0.0116759	0.974182	SMAD2(0.98), SP2(0.97), KLF1(0.96), KLF15(0.93), PURA(0.84), 
CD4 Naive	DNAJA1	9	33025202	0.311000	0.234000	0.200773	1.16078E-68	0.688125	0.00348135	9	32550732	32551232	-0.630952	0.0187569	-0.530408	0.017206	0.98455	ZNF281(0.95), KLF6(0.93), ZBTB7A(0.91), KLF2(0.86), KLF7(0.86), ZNF148(0.83), SP2(0.81), 
CD4 Naive	DUSP2	2	96145440	0.202000	0.174000	0.105438	2.5704E-11	0.867128	0.0389732	2	95700488	95700988	1.205063	0.0118383	2.559156	0.000311642	0.998063	SMAD2(0.99), KLF1(0.99), SP1(0.96), 
CD4 Naive	EIF1	17	41688884	0.996000	0.999000	0.450143	0	0.566855	0.000241638	17	41233665	41234165	-4.559781	0.0193066	-1.288347	0.0264123	0.996412	
CD4 Naive	EVL	14	99971421	0.654000	0.779000	-0.162144	1.22873E-73	-0.666662	1.49305E-06	14	100102044	100102544	-1.545533	0.00942601	-0.986626	0.019248	0.970962	IRF2(0.85), KLF11(0.84), 
CD4 Naive	EVL	14	99971421	0.654000	0.779000	-0.162144	1.22873E-73	-0.666662	1.49305E-06	14	100283496	100283996	-0.730809	0.00028913	-1.226352	0.000381584	0.999999	PURA(0.99), 
CD4 Naive	EVL	14	99971421	0.654000	0.779000	-0.162144	1.22873E-73	-0.666662	1.49305E-06	14	100285183	100285683	-1.467862	0.000268213	-2.245147	0.000778551	0.972889	PURA(1.00), ZNF148(0.99), KLF6(0.99), RELB(0.99), SP1(0.98), SP2(0.97), CTCF(0.95), ZBTB7A(0.93), SNAI1(0.92), KLF4(0.91), 
CD4 Naive	EVL	14	99971421	0.654000	0.779000	-0.162144	1.22873E-73	-0.666662	1.49305E-06	14	100327600	100328100	-1.411565	2.62635E-05	-1.142106	0.000960504	0.995994	KLF6(1.00), LYL1(0.96), CTCF(0.96), RELB(0.94), ZBTB7A(0.83), 
CD4 Naive	FCMR	1	206921941	0.224000	0.331000	-0.108920	1.90318E-65	-1.063953	1.07922E-05	1	206579852	206580352	1.036604	1.0811E-06	0.894703	0.0251208	0.99102	TFAP4(1.00), TCF12(0.99), LYL1(0.87), 
CD4 Naive	FCMR	1	206921941	0.224000	0.331000	-0.108920	1.90318E-65	-1.063953	1.07922E-05	1	206580369	206580869	1.503763	4.4E-05	2.282647	0.0071514	0.999594	TFAP4(1.00), IRF2(1.00), 
CD4 Naive	FCMR	1	206921941	0.224000	0.331000	-0.108920	1.90318E-65	-1.063953	1.07922E-05	1	206590015	206590515	0.585974	0.0291788	1.644245	0.00545851	0.999976	
CD4 Naive	FCMR	1	206921941	0.224000	0.331000	-0.108920	1.90318E-65	-1.063953	1.07922E-05	1	206923015	206923515	-0.738914	1.71058E-05	-0.770534	0.0120506	0.999999	BCL6(0.94), TFAP4(0.82), KLF4(0.81), 
CD4 Naive	FMNL1	17	45221884	0.201000	0.312000	-0.123368	4.63612E-78	-0.685622	8.88313E-06	17	45060991	45061491	-1.145677	1.36819E-05	-1.276825	0.0117095	0.957501	SP1(0.94), SP2(0.83), SP4(0.82), ELF1(0.81), 
CD4 Naive	FMNL1	17	45221884	0.201000	0.312000	-0.123368	4.63612E-78	-0.685622	8.88313E-06	17	45150026	45150526	-1.812126	4.06606E-15	-1.380632	8.24876E-05	0.994802	KLF16(0.93), SP1(0.92), KLF5(0.88), 
CD4 Naive	FOS	14	75278827	0.937000	0.451000	1.944304	0	3.123164	9.5394E-07	14	75524922	75525422	-0.603223	1.47521E-11	-0.519612	0.000488005	0.997013	KLF2(0.99), PURA(0.98), ZNF148(0.93), KLF1(0.85), TBX3(0.80), 
CD4 Naive	FOS	14	75278827	0.937000	0.451000	1.944304	0	3.123164	9.5394E-07	14	75525940	75526440	-0.394541	0.000642411	-0.351716	0.0293711	0.996187	
CD4 Naive	FOS	14	75278827	0.937000	0.451000	1.944304	0	3.123164	9.5394E-07	14	75526821	75527321	-0.694866	1.82109E-08	-0.671730	0.00262483	0.994881	
CD4 Naive	FOSB	19	45467995	0.701000	0.253000	1.207889	0	2.607347	1.14021E-05	19	45280333	45280833	0.670378	0.00723685	1.357611	0.028866	0.958248	KLF16(1.00), ZNF219(0.99), ZNF281(0.99), ZBTB7A(0.91), KLF5(0.84), KLF7(0.81), KLF4(0.80), 
CD4 Naive	FOSB	19	45467995	0.701000	0.253000	1.207889	0	2.607347	1.14021E-05	19	45283610	45284110	0.623608	0.0418928	1.682130	0.0102198	0.968047	
CD4 Naive	FOSB	19	45467995	0.701000	0.253000	1.207889	0	2.607347	1.14021E-05	19	45467457	45467957	-1.237316	1.34635E-11	-0.877792	0.00193304	0.999998	KLF6(1.00), EGR1(0.99), KLF16(0.93), RELA(0.86), 
CD4 Naive	GADD45B	19	2476126	0.592000	0.241000	0.957511	0	1.886441	2.15526E-08	19	2427888	2428388	0.480863	0.0184975	0.453660	0.00964577	0.984084	TCF12(1.00), SP1(0.98), KLF6(0.96), ZNF148(0.89), KLF5(0.86), 
CD4 Naive	GADD45B	19	2476126	0.592000	0.241000	0.957511	0	1.886441	2.15526E-08	19	2544992	2545492	-0.590395	0.0384019	-1.886419	0.00477739	0.988661	SP4(0.99), RELB(0.98), ZNF148(0.96), EGR1(0.80), 
CD4 Naive	GCC2	2	108449205	0.378000	0.523000	-0.202077	5.24703E-104	-0.499271	0.00694157	2	108619633	108620133	-0.556879	0.0284551	-1.053533	0.00237587	0.971917	
CD4 Naive	GIMAP2	7	150685705	0.141000	0.247000	-0.122015	2.00976E-90	-1.161203	7.21789E-07	7	150372905	150373405	-0.520601	2.28673E-05	-0.622141	0.042801	0.960573	KLF11(1.00), KLF6(0.97), ZBTB7A(0.96), KLF16(0.95), BCL6(0.95), KLF7(0.88), KLF4(0.87), KLF5(0.85), 
CD4 Naive	GIMAP2	7	150685705	0.141000	0.247000	-0.122015	2.00976E-90	-1.161203	7.21789E-07	7	150645198	150645698	1.173264	7.9674E-10	1.111851	0.000998645	0.99995	
CD4 Naive	GIMAP2	7	150685705	0.141000	0.247000	-0.122015	2.00976E-90	-1.161203	7.21789E-07	7	150667790	150668290	3.009544	0.0495687	1.909667	0.000812429	0.960937	PURA(0.93), 
CD4 Naive	GIMAP2	7	150685705	0.141000	0.247000	-0.122015	2.00976E-90	-1.161203	7.21789E-07	7	150668872	150669372	4.964141	0.000187488	2.333538	2.93495E-12	0.957116	BCL6(0.97), TBX3(0.92), 
CD4 Naive	GIMAP2	7	150685705	0.141000	0.247000	-0.122015	2.00976E-90	-1.161203	7.21789E-07	7	150956092	150956592	-0.301112	0.0203458	-0.476184	0.0123576	0.991525	KLF16(1.00), KLF6(0.98), KLF15(0.98), TCF12(0.94), SP1(0.94), NHLH1(0.92), ZNF148(0.81), 
CD4 Naive	GIMAP4	7	150567369	0.281000	0.457000	-0.267090	6.13862E-171	-1.372636	3.19683E-05	7	150645198	150645698	1.173264	7.9674E-10	1.111851	0.000998645	0.999954	
CD4 Naive	GIMAP4	7	150567369	0.281000	0.457000	-0.267090	6.13862E-171	-1.372636	3.19683E-05	7	150667790	150668290	3.009544	0.0495687	1.909667	0.000812429	0.950195	PURA(0.93), 
CD4 Naive	GIMAP4	7	150567369	0.281000	0.457000	-0.267090	6.13862E-171	-1.372636	3.19683E-05	7	150668872	150669372	4.964141	0.000187488	2.333538	2.93495E-12	0.993593	BCL6(0.97), TBX3(0.92), 
CD4 Naive	GIMAP4	7	150567369	0.281000	0.457000	-0.267090	6.13862E-171	-1.372636	3.19683E-05	7	150956092	150956592	-0.301112	0.0203458	-0.476184	0.0123576	0.964111	KLF16(1.00), KLF6(0.98), KLF15(0.98), TCF12(0.94), SP1(0.94), NHLH1(0.92), ZNF148(0.81), 
CD4 Naive	GIMAP7	7	150514871	0.548000	0.725000	-0.317481	3.71381E-198	-0.908955	2.99295E-05	7	150645198	150645698	1.173264	7.9674E-10	1.111851	0.000998645	0.999909	
CD4 Naive	GIMAP7	7	150514871	0.548000	0.725000	-0.317481	3.71381E-198	-0.908955	2.99295E-05	7	150667790	150668290	3.009544	0.0495687	1.909667	0.000812429	0.964154	PURA(0.93), 
CD4 Naive	GIMAP7	7	150514871	0.548000	0.725000	-0.317481	3.71381E-198	-0.908955	2.99295E-05	7	150668872	150669372	4.964141	0.000187488	2.333538	2.93495E-12	0.993116	BCL6(0.97), TBX3(0.92), 
CD4 Naive	GRPEL1	4	7068064	0.172000	0.131000	0.102198	8.758E-25	0.599723	4.66219E-05	4	7037403	7037903	-0.491117	0.00500963	-0.801463	0.00378616	0.97566	BCL6(0.92), 
CD4 Naive	HLA-DRB1	6	32589836	0.237000	0.061000	0.245842	0	1.064064	0.0137399	6	32978445	32978945	-0.655145	0.00100492	-0.681622	0.0175749	0.98585	
CD4 Naive	HNRNPA0	5	137754363	0.502000	0.508000	0.101106	2.5931E-08	0.260841	0.00171808	5	137692187	137692687	-0.822238	0.0158712	-0.883546	0.00730944	0.964849	STAT6(1.00), TCF12(1.00), TBX3(0.90), 
CD4 Naive	HSP90AA1	14	102139749	0.904000	0.784000	0.224442	1.0089E-116	0.383837	0.00296355	14	101711551	101712051	-0.809171	0.00407289	-1.170033	0.00146652	0.962649	KLF16(0.97), KLF5(0.90), KLF4(0.83), 
CD4 Naive	HSP90AA1	14	102139749	0.904000	0.784000	0.224442	1.0089E-116	0.383837	0.00296355	14	101714499	101714999	-2.813196	0.0350711	-1.494362	0.0291515	0.988758	BCL6(1.00), KLF4(0.98), KLF5(0.97), KLF1(0.96), 
CD4 Naive	HSP90AB1	6	44246165	0.801000	0.777000	0.183585	1.06592E-57	0.283503	0.000531568	6	43813118	43813618	1.561618	1.50862E-49	1.121330	1.06943E-06	0.96879	IRF2(1.00), SMAD2(1.00), TFAP4(1.00), BCL6(1.00), SP1(0.98), EGR1(0.95), TCF12(0.91), LYL1(0.89), KLF5(0.88), KLF4(0.87), 
CD4 Naive	HSP90AB1	6	44246165	0.801000	0.777000	0.183585	1.06592E-57	0.283503	0.000531568	6	43817109	43817609	1.503062	6.76409E-11	1.987232	0.0163439	0.98231	SP1(0.97), SP2(0.95), CTCF(0.92), NFE2(0.82), 
CD4 Naive	HSPA5	9	125241343	0.384000	0.301000	0.231605	7.53635E-83	0.815960	3.06961E-06	9	124856606	124857106	0.544540	0.0269335	0.580586	0.00210446	0.997435	TFAP4(0.95), 
CD4 Naive	ICOS	2	203936762	0.157000	0.099000	0.118963	9.48816E-53	0.940073	3.48167E-06	2	204023075	204023575	0.365173	0.0261843	0.493234	0.0340283	0.982623	
CD4 Naive	IDS	23	149505306	0.286000	0.207000	0.209744	1.46425E-74	1.018878	7.01502E-09	23	149488537	149489037	4.653386	0.00339711	1.709950	0.00473118	0.980665	
CD4 Naive	IDS	23	149505306	0.286000	0.207000	0.209744	1.46425E-74	1.018878	7.01502E-09	23	149495055	149495555	3.715086	0.0391326	1.331680	0.0270004	0.96276	
CD4 Naive	IDS	23	149505306	0.286000	0.207000	0.209744	1.46425E-74	1.018878	7.01502E-09	23	149500757	149501257	3.510053	0.0072167	2.679725	1.8937E-08	0.989632	STAT6(0.98), IRF2(0.96), ELF1(0.84), 
CD4 Naive	IER5	1	181088699	0.178000	0.076000	0.232439	1.09403E-180	1.700588	1.10753E-05	1	181062730	181063230	-2.322247	0.00173949	-1.480006	0.0147973	0.997625	BCL6(0.98), 
CD4 Naive	IFRD1	7	112423143	0.239000	0.118000	0.268612	9.957E-200	1.335444	5.05129E-08	7	112391832	112392332	1.212942	0.00241852	1.477417	0.00468534	0.982742	STAT6(0.95), ETS2(0.89), 
CD4 Naive	IRF9	14	24161264	0.254000	0.179000	0.202811	3.66678E-70	0.822175	0.00912887	14	24341943	24342443	-1.257102	0.00439949	-1.927181	0.013398	0.988939	SP6(0.99), KLF4(0.89), SP2(0.83), 
CD4 Naive	JUN	1	58784047	0.953000	0.634000	1.680428	0	1.887387	2.53252E-06	1	58778309	58778809	3.102671	0.00168591	1.733406	0.0215806	0.998691	TCF4(0.97), 
CD4 Naive	JUN	1	58784047	0.953000	0.634000	1.680428	0	1.887387	2.53252E-06	1	58779555	58780055	1.396859	2.21658E-05	2.172457	0.0052421	1	KLF4(0.96), SP1(0.95), KLF5(0.89), KLF2(0.86), 
CD4 Naive	JUND	19	18281622	0.993000	0.960000	0.808569	0	1.271139	1.06251E-10	19	17952027	17952527	-0.319078	0.0061224	-0.343284	0.00974198	0.959351	SP1(0.99), SP2(0.98), PURA(0.97), KLF6(0.94), KLF15(0.92), CTCF(0.92), PATZ1(0.88), CTCFL(0.85), 
CD4 Naive	JUND	19	18281622	0.993000	0.960000	0.808569	0	1.271139	1.06251E-10	19	18288855	18289355	1.951983	2.51063E-06	1.899695	0.0269706	0.997451	SP1(0.93), ZNF219(0.87), 
CD4 Naive	JUND	19	18281622	0.993000	0.960000	0.808569	0	1.271139	1.06251E-10	19	18506490	18506990	0.594228	0.000895591	0.480687	0.000238436	0.985566	SNAI1(1.00), RELB(0.88), NFE2(0.83), 
CD4 Naive	JUND	19	18281622	0.993000	0.960000	0.808569	0	1.271139	1.06251E-10	19	18608060	18608560	0.762024	0.0120756	1.283593	0.000485145	0.981206	SMAD2(0.99), SP1(0.99), KLF2(0.99), SNAI1(0.98), SP2(0.97), SP4(0.82), 
CD4 Naive	LENG8	19	54449198	0.215000	0.333000	-0.146644	3.78169E-89	-0.668493	0.000190163	19	54095758	54096258	-2.853669	1.15627E-07	-1.049456	0.0261926	0.977551	TFAP4(0.97), ZNF148(0.82), 
CD4 Naive	MIDN	19	1248552	0.178000	0.084000	0.187591	1.86027E-145	1.481270	9.14001E-09	19	1031354	1031854	-2.346219	0.00786441	-1.970919	0.00453443	0.968746	SMAD2(0.97), SP1(0.94), KLF4(0.91), KLF2(0.84), CTCFL(0.82), 
CD4 Naive	MIDN	19	1248552	0.178000	0.084000	0.187591	1.86027E-145	1.481270	9.14001E-09	19	1071695	1072195	1.668316	0.00123714	1.428476	0.0102195	0.99725	SP1(0.97), TCF12(0.85), 
CD4 Naive	MIDN	19	1248552	0.178000	0.084000	0.187591	1.86027E-145	1.481270	9.14001E-09	19	1155646	1156146	-1.344266	0.000173534	-1.412234	0.00230632	0.994926	KLF16(1.00), KLF4(0.94), SP1(0.91), TCF12(0.84), SP2(0.81), 
CD4 Naive	MIDN	19	1248552	0.178000	0.084000	0.187591	1.86027E-145	1.481270	9.14001E-09	19	1214393	1214893	-1.035727	0.00231713	-1.341486	0.0301282	0.989601	KLF4(0.94), KLF1(0.93), SP1(0.91), KLF5(0.89), KLF16(0.82), 
CD4 Naive	MIDN	19	1248552	0.178000	0.084000	0.187591	1.86027E-145	1.481270	9.14001E-09	19	1672469	1672969	-0.592796	0.0239532	-0.832589	0.0130115	0.965488	CTCF(0.99), KLF4(0.94), KLF15(0.86), KLF7(0.84), 
CD4 Naive	NEU1	6	31862821	0.108000	0.030000	0.173808	7.51502E-191	2.143660	1.24253E-10	6	31664778	31665278	-2.471355	2.00768E-10	-2.074533	0.00717365	0.999217	EGR1(0.98), STAT6(0.96), SNAI1(0.94), 
CD4 Naive	NR4A2	2	156332721	0.234000	0.098000	0.343018	6.89306E-259	3.097094	0.000498631	2	156433493	156433993	-0.858495	0.0115566	-0.632317	0.00532918	1	STAT6(0.86), 
CD4 Naive	NR4A2	2	156332721	0.234000	0.098000	0.343018	6.89306E-259	3.097094	0.000498631	2	156663748	156664248	-0.969633	8.86901E-06	-1.090920	8.33061E-05	0.999999	
CD4 Naive	ODC1	2	10448327	0.239000	0.198000	0.112923	9.98411E-22	0.699011	8.47406E-05	2	10254058	10254558	-0.614435	0.0286306	-0.955524	0.00279099	0.970193	ZNF148(0.95), PATZ1(0.81), 
CD4 Naive	ODC1	2	10448327	0.239000	0.198000	0.112923	9.98411E-22	0.699011	8.47406E-05	2	10330475	10330975	0.880843	8.61947E-10	0.662871	0.00292117	0.990912	PURA(0.93), RELB(0.92), KLF1(0.91), ETS2(0.82), 
CD4 Naive	ODC1	2	10448327	0.239000	0.198000	0.112923	9.98411E-22	0.699011	8.47406E-05	2	10331947	10332447	1.407279	0.00392657	1.588908	0.00514037	0.998875	SP1(1.00), SP2(0.99), ZNF219(0.93), ZNF148(0.93), 
CD4 Naive	OGT	23	71533103	0.195000	0.293000	-0.105570	4.91684E-61	-0.707547	0.000120009	23	71282580	71283080	1.497446	0.00517603	2.085044	0.0010678	0.998515	SMAD2(1.00), SP2(0.99), SP4(0.98), SP1(0.98), KLF1(0.98), PURA(0.96), KLF4(0.95), ZNF148(0.89), 
CD4 Naive	PABPC1	8	100722088	0.980000	0.951000	0.185634	2.47745E-46	0.373111	5.81802E-06	8	100623290	100623790	-0.197674	0.00487913	-0.388697	0.00175073	0.987143	SP2(0.86), KLF1(0.86), SP1(0.83), 
CD4 Naive	PITHD1	1	23778417	0.247000	0.228000	0.101756	1.70768E-06	0.510228	0.000142007	1	23531146	23531646	-0.463882	0.0374643	-0.500177	0.0217457	0.993232	KLF15(1.00), ZBTB7A(0.94), KLF16(0.94), ZNF219(0.90), STAT6(0.86), PATZ1(0.82), 
CD4 Naive	PNISR	6	99425345	0.690000	0.838000	-0.321098	1.56876E-249	-0.543231	3.15026E-06	6	99611063	99611563	1.434619	4.56867E-05	1.037202	0.0143825	0.995715	IRF2(1.00), NFE2(0.96), 
CD4 Naive	PPP1CA	11	67401858	0.158000	0.258000	-0.121337	3.61515E-79	-0.442387	0.00553708	11	67651089	67651589	-1.247543	0.00115902	-1.311858	0.00149744	0.99976	
CD4 Naive	PPP1R15A	19	48872391	0.499000	0.186000	0.676053	0	2.695815	4.4609E-14	19	48397793	48398293	1.553602	0.0373934	1.923911	0.0116759	0.988773	SMAD2(0.98), SP2(0.97), KLF1(0.96), KLF15(0.93), PURA(0.84), 
CD4 Naive	PPP1R15A	19	48872391	0.499000	0.186000	0.676053	0	2.695815	4.4609E-14	19	48624562	48625062	1.133937	0.0349546	1.102420	0.0072345	0.954656	SNAI1(0.97), SP6(0.89), KLF5(0.89), RELB(0.84), 
