Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Looping_prob	TFs(binding prob)
	chr2	127107154	chr2	127052049	127052908	0.953047	NFE2,(0.985014985014985),ATOH1,(0.974025974025974),ESR2,(0.962037962037962),ESR1,(0.859140859140859),
	chr2	127107154	chr2	127170227	127171229	0.979021	CREB3L2,(1),ZNF784,(1),NR4A3,(1),NR4A1,(0.999000999000999),NR4A2,(0.999000999000999),RXRA,(0.999000999000999),NR2F1,(0.998001998001998),HNF4A,(0.995004995004995),NR2C1,(0.989010989010989),HNF4G,(0.987012987012987),NR6A1,(0.979020979020979),RXRB,(0.95004995004995),NR2F6,(0.932067932067932),RARB,(0.924075924075924),NR2F2,(0.92007992007992),
	chr2	202376326	chr2	202281154	202282136	0.956044	BACH2,(0.997002997002997),JUNB,(0.997002997002997),NR4A3,(0.997002997002997),JUN,(0.993006993006993),FOSB,(0.99000999000999),BACH1,(0.989010989010989),KLF3,(0.988011988011988),FOSL1,(0.986013986013986),JDP2,(0.984015984015984),SNAI2,(0.984015984015984),SMARCC1,(0.98001998001998),FOSL2,(0.954045954045954),NR6A1,(0.829170829170829),
	chr7	98281685	chr7	98285999	98287413	0.986014	MITF,(0.988011988011988),KLF3,(0.984015984015984),ESR1,(0.982017982017982),HES1,(0.974025974025974),SNAI2,(0.968031968031968),MYC,(0.953046953046953),USF2,(0.947052947052947),RORA,(0.939060939060939),
	chr19	571282	chr19	584097	585067	0.976024	MYC,(0.999000999000999),KLF3,(0.998001998001998),NR2C1,(0.995004995004995),ESR2,(0.991008991008991),MAF,(0.99000999000999),RXRA,(0.99000999000999),ZKSCAN4,(0.98001998001998),CREB3L2,(0.979020979020979),KLF8,(0.969030969030969),ESR1,(0.952047952047952),ATOH1,(0.903096903096903),RXRG,(0.886113886113886),NR2E1,(0.873126873126873),ZKSCAN3,(0.867132867132867),
	chr19	29715789	chr19	29708423	29709418	0.984016	ZIC1,(1),PPARD,(1),ESRRB,(1),NR4A1,(1),ESRRA,(1),NR2F1,(0.999000999000999),ESRRG,(0.999000999000999),TCF7L2,(0.998001998001998),NR3C1,(0.996003996003996),NR4A2,(0.996003996003996),HNF4G,(0.993006993006993),BACH2,(0.989010989010989),HNF4A,(0.989010989010989),KLF8,(0.987012987012987),ZIC3,(0.985014985014985),PPARA,(0.935064935064935),GLI1,(0.811188811188811),
	chr1	150272283	chr1	150259570	150260511	0.981019	ZNF219,(1),GCM1,(0.808191808191808),
	chr3	37386268	chr3	37243909	37244778	0.995005	NR1I2,(0.944055944055944),ZKSCAN4,(0.928071928071928),NR4A2,(0.923076923076923),NR2F6,(0.909090909090909),NR2C1,(0.838161838161838),
	chr7	134779633	chr7	134669704	134670668	0.951049	NR4A3,(0.997002997002997),NR4A2,(0.988011988011988),NR4A1,(0.987012987012987),HNF4G,(0.982017982017982),
	chr1	223701592	chr1	224456624	224457807	0.974026	NR2F6,(0.991008991008991),RORA,(0.981018981018981),RORB,(0.975024975024975),TCF7L2,(0.968031968031968),NR2C1,(0.957042957042957),FOSB,(0.951048951048951),SMARCC1,(0.935064935064935),NR4A2,(0.902097902097902),
	chr7	74964704	chr7	74465905	74466910	0.971029	NR2C1,(1),HES1,(0.999000999000999),NR5A1,(0.998001998001998),ESRRA,(0.998001998001998),NR6A1,(0.996003996003996),ZKSCAN4,(0.994005994005994),NR4A3,(0.992007992007992),NR1I3,(0.992007992007992),RXRG,(0.99000999000999),HNF4A,(0.983016983016983),ESRRB,(0.978021978021978),NR1H2,(0.972027972027972),ZIC1,(0.968031968031968),RXRA,(0.966033966033966),TP73,(0.96003996003996),ESRRG,(0.94005994005994),NR4A1,(0.927072927072927),
	chr7	74964704	chr7	74477601	74478623	0.951049	GLI1,(1),MXI1,(0.992007992007992),RHOXF1,(0.991008991008991),
	chr7	74964704	chr7	74604052	74604981	0.995005	TEAD1,(0.928071928071928),RARA,(0.909090909090909),KLF3,(0.881118881118881),ATOH1,(0.82017982017982),
	chr16	67029148	chr16	66935288	66935990	0.963037	KLF3,(0.907092907092907),NFE2,(0.899100899100899),
	chr16	67029148	chr16	67177861	67178830	0.985015	KLF3,(0.964035964035964),NPAS2,(0.956043956043956),KLF8,(0.915084915084915),MAF,(0.878121878121878),MXI1,(0.869130869130869),
	chr21	36135078	chr21	36171588	36172570	0.977023	RARB,(1),NR4A2,(1),KLF3,(0.999000999000999),RARG,(0.999000999000999),ESRRA,(0.999000999000999),NR3C1,(0.998001998001998),PGR,(0.997002997002997),HES1,(0.996003996003996),MAF,(0.989010989010989),ESR1,(0.962037962037962),ESR2,(0.96003996003996),
	chr21	36135078	chr21	36186698	36187536	0.991009	MEIS1,(0.993006993006993),SNAI2,(0.989010989010989),NR6A1,(0.963036963036963),NR2C1,(0.958041958041958),KLF8,(0.89010989010989),NR2F6,(0.816183816183816),
	chr2	118014070	chr2	118834656	118835691	0.971029	HEY1,(0.995004995004995),CREB3L2,(0.988011988011988),NR5A2,(0.979020979020979),NR5A1,(0.969030969030969),NR4A3,(0.942057942057942),ESRRG,(0.942057942057942),MXI1,(0.941058941058941),ESRRA,(0.887112887112887),NPAS2,(0.861138861138861),TFCP2,(0.828171828171828),
	chr2	118014070	chr2	118835730	118836675	0.968032	RXRB,(0.984015984015984),HNF4G,(0.977022977022977),NR2F6,(0.936063936063936),NR1H2,(0.93006993006993),NR2F1,(0.908091908091908),RXRA,(0.855144855144855),
	chr7	80602206	chr7	80603968	80604896	0.993007	NPAS2,(0.997002997002997),CREB3L2,(0.997002997002997),NR4A2,(0.997002997002997),MXI1,(0.973026973026973),MITF,(0.954045954045954),TFEB,(0.936063936063936),
	chr7	80602206	chr7	80636423	80637283	0.989011	MEIS2,(1),TGIF2,(0.996003996003996),PGR,(0.985014985014985),
	chr12	55729673	chr12	55680989	55681943	0.964036	NR2E1,(1),PPARG,(1),ESR2,(0.998001998001998),FOSL1,(0.996003996003996),SMARCC1,(0.996003996003996),FOSB,(0.995004995004995),BACH1,(0.993006993006993),FOSL2,(0.988011988011988),JUN,(0.987012987012987),NR1I2,(0.985014985014985),NR3C1,(0.97002997002997),HLTF,(0.97002997002997),JDP2,(0.965034965034965),JUNB,(0.961038961038961),MAF,(0.911088911088911),BACH2,(0.873126873126873),
	chr7	105963263	chr7	105775730	105776652	0.988012	SMARCC1,(0.989010989010989),FOSL2,(0.98001998001998),NR4A1,(0.977022977022977),BACH1,(0.973026973026973),NR2C1,(0.968031968031968),FOSB,(0.955044955044955),ATF3,(0.955044955044955),JUN,(0.952047952047952),TCF7L2,(0.945054945054945),ESR1,(0.942057942057942),BACH2,(0.912087912087912),ZNF219,(0.905094905094905),NR4A2,(0.898101898101898),NR4A3,(0.872127872127872),FOSL1,(0.836163836163836),
	chr20	5127007	chr20	5150401	5151327	0.977023	NFE2,(1),ESR1,(1),ATF3,(0.998001998001998),USF2,(0.993006993006993),TFEB,(0.992007992007992),MXI1,(0.981018981018981),TGIF2,(0.963036963036963),ESR2,(0.922077922077922),
	chr20	5127007	chr20	5156272	5157242	0.979021	KLF8,(1),PPARD,(1),NR4A1,(1),RXRA,(1),NR3C1,(0.999000999000999),RXRG,(0.998001998001998),NR1I2,(0.997002997002997),MTF1,(0.992007992007992),NR2F6,(0.989010989010989),FOSB,(0.978021978021978),RXRB,(0.955044955044955),NR4A2,(0.917082917082917),
	chr8	47738164	chr8	47659242	47660209	0.992008	ESR1,(0.999000999000999),NR6A1,(0.997002997002997),PPARG,(0.993006993006993),RORA,(0.989010989010989),NR5A1,(0.949050949050949),NR3C1,(0.92007992007992),NR4A2,(0.917082917082917),
	chr5	75511981	chr5	75363425	75364380	0.962038	NR4A2,(0.985014985014985),TEAD1,(0.969030969030969),TCF7L2,(0.959040959040959),NR1I3,(0.947052947052947),RXRA,(0.931068931068931),
	chr16	66961265	chr16	66935288	66935990	0.99001	KLF3,(0.907092907092907),NFE2,(0.899100899100899),
	chr16	66961265	chr16	67177861	67178830	0.997003	KLF3,(0.964035964035964),NPAS2,(0.956043956043956),KLF8,(0.915084915084915),MAF,(0.878121878121878),MXI1,(0.869130869130869),
	chr5	81301569	chr5	81234876	81235885	0.979021	NPAS2,(0.999000999000999),CREB3L2,(0.993006993006993),TCF7L2,(0.987012987012987),MYC,(0.984015984015984),FOSL1,(0.983016983016983),SMARCC1,(0.981018981018981),MXI1,(0.97002997002997),PPARG,(0.966033966033966),ESR2,(0.963036963036963),MEIS1,(0.959040959040959),ESR1,(0.935064935064935),NR3C1,(0.933066933066933),ATOH1,(0.908091908091908),MYCN,(0.867132867132867),NR2C1,(0.822177822177822),
	chr5	81301569	chr5	81244787	81245616	0.977023	MEIS2,(0.97002997002997),JDP2,(0.908091908091908),
	chr6	46129819	chr6	45998080	45999092	0.979021	SNAI2,(0.997002997002997),ATOH1,(0.993006993006993),HNF4G,(0.986013986013986),NR2E1,(0.971028971028971),RORC,(0.948051948051948),RORA,(0.934065934065934),MITF,(0.877122877122877),MYOD1,(0.861138861138861),MEIS1,(0.812187812187812),
	chr6	46129819	chr6	46170554	46171522	0.955045	ZNF219,(0.975024975024975),
	chr9	36190855	chr9	35517298	35518309	0.972028	PPARG,(1),ESR2,(0.998001998001998),ESR1,(0.997002997002997),TCF7L2,(0.993006993006993),RHOXF1,(0.945054945054945),PPARD,(0.914085914085914),
	chr13	45464938	chr13	45433043	45433999	0.973027	RORC,(1),NR3C1,(0.999000999000999),NR4A2,(0.998001998001998),RXRA,(0.995004995004995),RXRG,(0.918081918081918),PGR,(0.86013986013986),NR2F6,(0.831168831168831),
	chr2	227164205	chr2	226478147	226479040	0.976024	BACH1,(0.997002997002997),SMARCC1,(0.994005994005994),TEAD1,(0.991008991008991),NR2E1,(0.99000999000999),JUNB,(0.986013986013986),JUN,(0.976023976023976),NR3C1,(0.971028971028971),FOSL1,(0.942057942057942),FOSL2,(0.86013986013986),HLTF,(0.839160839160839),
	chr12	56266941	chr12	55680989	55681943	0.964036	NR2E1,(1),PPARG,(1),ESR2,(0.998001998001998),FOSL1,(0.996003996003996),SMARCC1,(0.996003996003996),FOSB,(0.995004995004995),BACH1,(0.993006993006993),FOSL2,(0.988011988011988),JUN,(0.987012987012987),NR1I2,(0.985014985014985),NR3C1,(0.97002997002997),HLTF,(0.97002997002997),JDP2,(0.965034965034965),JUNB,(0.961038961038961),MAF,(0.911088911088911),BACH2,(0.873126873126873),
	chr6	99394195	chr6	99393546	99394521	0.986014	NR4A2,(0.959040959040959),ESRRG,(0.939060939060939),ESRRA,(0.932067932067932),ESRRB,(0.834165834165834),
	chr1	226940293	chr1	226660222	226661286	0.952048	PPARG,(0.997002997002997),ESRRG,(0.995004995004995),TCF7L2,(0.991008991008991),NR4A1,(0.989010989010989),TFCP2,(0.984015984015984),ESRRB,(0.977022977022977),ESRRA,(0.939060939060939),KLF3,(0.919080919080919),MYC,(0.878121878121878),
	chr1	226940293	chr1	226697652	226698642	0.955045	HNF4G,(1),NR4A2,(0.998001998001998),NR4A1,(0.997002997002997),NFE2,(0.994005994005994),ATOH1,(0.994005994005994),MYOD1,(0.993006993006993),NR4A3,(0.983016983016983),ESR1,(0.95004995004995),MAF,(0.88011988011988),
	chr1	226940293	chr1	227934152	227935138	0.978022	SMARCC1,(0.999000999000999),FOSL2,(0.994005994005994),JUN,(0.99000999000999),GLIS1,(0.987012987012987),BACH2,(0.982017982017982),DMBX1,(0.924075924075924),JDP2,(0.903096903096903),BACH1,(0.888111888111888),
	chr5	173888348	chr5	173657657	173658623	0.974026	NR4A3,(1),ESRRG,(1),ESRRB,(0.999000999000999),RARA,(0.998001998001998),NR4A2,(0.997002997002997),NR4A1,(0.996003996003996),ESRRA,(0.993006993006993),NR5A2,(0.988011988011988),SMARCC1,(0.983016983016983),NR1H3,(0.955044955044955),NR2F2,(0.823176823176823),
	chr5	173888348	chr5	173766114	173767005	0.974026	MXI1,(0.975024975024975),HEY1,(0.973026973026973),CREB3L2,(0.973026973026973),TCF7L2,(0.966033966033966),KLF3,(0.956043956043956),NR3C1,(0.943056943056943),
	chr5	173888348	chr5	173954632	173955623	0.965035	JDP2,(0.999000999000999),SMARCC1,(0.999000999000999),RORC,(0.999000999000999),FOSL1,(0.998001998001998),MEIS1,(0.994005994005994),BACH2,(0.993006993006993),NR4A2,(0.992007992007992),HES1,(0.991008991008991),TCF7L2,(0.99000999000999),FOSL2,(0.985014985014985),BACH1,(0.985014985014985),FOSB,(0.983016983016983),JUN,(0.981018981018981),SNAI2,(0.965034965034965),
	chr16	3880713	chr16	3745705	3746694	0.971029	MYC,(1),ESR1,(1),MYOD1,(0.999000999000999),RARA,(0.999000999000999),NR2E1,(0.998001998001998),ESR2,(0.997002997002997),FOSL1,(0.996003996003996),ZNF691,(0.996003996003996),NR4A3,(0.995004995004995),MYF5,(0.995004995004995),FOSB,(0.993006993006993),CREB3L2,(0.99000999000999),MXI1,(0.988011988011988),PGR,(0.979020979020979),BACH2,(0.975024975024975),TEAD1,(0.964035964035964),NR4A2,(0.95004995004995),MITF,(0.945054945054945),TFCP2,(0.938061938061938),ZIC1,(0.93006993006993),ZIC3,(0.903096903096903),PPARA,(0.9000999000999),GLI1,(0.895104895104895),MTF1,(0.862137862137862),
	chr17	1456232	chr17	1459975	1460905	0.977023	ZNF219,(0.98001998001998),BACH2,(0.975024975024975),FOSL1,(0.965034965034965),JUN,(0.959040959040959),JUND,(0.955044955044955),SNAI2,(0.946053946053946),RARB,(0.926073926073926),FOSL2,(0.909090909090909),PGR,(0.895104895104895),JUNB,(0.891108891108891),ATOH1,(0.862137862137862),HLTF,(0.804195804195804),
	chr17	1456232	chr17	1586899	1587849	0.976024	MEIS2,(0.977022977022977),NR4A2,(0.975024975024975),TEAD1,(0.971028971028971),ESRRG,(0.968031968031968),NR4A1,(0.962037962037962),ESRRB,(0.954045954045954),NR4A3,(0.93006993006993),TP73,(0.922077922077922),JUND,(0.917082917082917),NR5A2,(0.887112887112887),MEIS1,(0.873126873126873),ESRRA,(0.873126873126873),SNAI2,(0.841158841158841),TGIF2,(0.802197802197802),
	chr17	1456232	chr17	1647154	1647934	0.967033	SNAI2,(0.999000999000999),NR2E1,(0.989010989010989),PPARG,(0.917082917082917),NR1I2,(0.873126873126873),
	chr19	18683679	chr19	18506676	18507598	0.96004	TFEB,(0.967032967032967),NR4A3,(0.944055944055944),PPARD,(0.926073926073926),NR2F6,(0.924075924075924),RXRA,(0.91008991008991),MITF,(0.888111888111888),RXRG,(0.884115884115884),TP73,(0.81018981018981),
	chr19	18683679	chr19	18648806	18650232	0.959041	TEAD1,(0.996003996003996),NR3C1,(0.987012987012987),ATOH1,(0.982017982017982),OSR1,(0.975024975024975),ZIC1,(0.963036963036963),TP73,(0.961038961038961),KLF8,(0.823176823176823),
	chr19	18683679	chr19	18650244	18651253	0.966034	TFEB,(1),BACH1,(1),FOSL1,(1),CREB3L2,(1),ESR1,(1),NR4A3,(1),NR4A1,(1),NR4A2,(1),FOSB,(0.999000999000999),JDP2,(0.999000999000999),JUNB,(0.999000999000999),JUN,(0.999000999000999),MAF,(0.999000999000999),ZIC3,(0.999000999000999),SMARCC1,(0.999000999000999),ESR2,(0.998001998001998),MITF,(0.997002997002997),FOSL2,(0.997002997002997),BACH2,(0.997002997002997),NR2C1,(0.997002997002997),HES1,(0.996003996003996),NFE2,(0.996003996003996),
	chr12	56300330	chr12	55680989	55681943	0.955045	NR2E1,(1),PPARG,(1),ESR2,(0.998001998001998),FOSL1,(0.996003996003996),SMARCC1,(0.996003996003996),FOSB,(0.995004995004995),BACH1,(0.993006993006993),FOSL2,(0.988011988011988),JUN,(0.987012987012987),NR1I2,(0.985014985014985),NR3C1,(0.97002997002997),HLTF,(0.97002997002997),JDP2,(0.965034965034965),JUNB,(0.961038961038961),MAF,(0.911088911088911),BACH2,(0.873126873126873),
	chr5	138753385	chr5	138753967	138754767	0.964036	KLF3,(0.993006993006993),RARA,(0.977022977022977),NR4A2,(0.972027972027972),NR2F1,(0.939060939060939),NR4A3,(0.906093906093906),
	chr17	45061131	chr17	45018883	45019909	0.968032	HNF4G,(0.969030969030969),ESRRG,(0.964035964035964),ESRRB,(0.938061938061938),ESRRA,(0.931068931068931),RORA,(0.84015984015984),ESR1,(0.801198801198801),
	chr1	26432281	chr1	25744148	25744665	0.984016	NR2C1,(0.859140859140859),
	chr1	26432281	chr1	25786522	25787522	0.981019	JDP2,(0.992007992007992),MITF,(0.99000999000999),BACH1,(0.968031968031968),FOSL2,(0.947052947052947),JUN,(0.947052947052947),FOSB,(0.937062937062937),SMARCC1,(0.928071928071928),FOS,(0.922077922077922),BACH2,(0.859140859140859),USF2,(0.837162837162837),GLIS1,(0.817182817182817),JUNB,(0.809190809190809),
	chr1	26432281	chr1	26061452	26062257	0.971029	NR1I3,(0.983016983016983),ESRRG,(0.978021978021978),NR2C1,(0.977022977022977),NR4A3,(0.97002997002997),NR2F1,(0.97002997002997),ESRRA,(0.962037962037962),PPARD,(0.942057942057942),ESRRB,(0.922077922077922),NR1I2,(0.92007992007992),NR5A2,(0.908091908091908),NR6A1,(0.843156843156843),NR2F2,(0.817182817182817),
	chr17	21126927	chr17	21041661	21042464	0.961039	ESRRA,(0.927072927072927),NR1I3,(0.92007992007992),
	chr17	21126927	chr17	21165768	21166756	0.957043	RARA,(0.971028971028971),BACH1,(0.958041958041958),TEAD1,(0.955044955044955),RORA,(0.954045954045954),PPARD,(0.949050949050949),ESR2,(0.939060939060939),MEIS1,(0.935064935064935),NR1I3,(0.929070929070929),MAF,(0.92007992007992),RORB,(0.917082917082917),PPARA,(0.899100899100899),NR1I2,(0.887112887112887),MTF1,(0.862137862137862),
	chr11	112025407	chr11	111988409	111989364	0.976024	JUN,(0.974025974025974),BACH1,(0.946053946053946),PPARD,(0.92007992007992),RXRB,(0.909090909090909),RXRA,(0.878121878121878),
	chr11	112025407	chr11	112100141	112101061	0.975025	MAF,(0.962037962037962),RORA,(0.924075924075924),TEAD1,(0.896103896103896),NR2C1,(0.895104895104895),ZNF219,(0.839160839160839),ESRRB,(0.838161838161838),
	chr20	36306338	chr20	36463632	36464451	0.982018	KLF3,(1),RXRG,(0.999000999000999),RORC,(0.999000999000999),RXRA,(0.999000999000999),NR4A1,(0.998001998001998),RORA,(0.997002997002997),PPARD,(0.997002997002997),NR4A3,(0.997002997002997),NR2F6,(0.995004995004995),NR4A2,(0.994005994005994),
	chr20	36306338	chr20	36480498	36481354	0.992008	KLF8,(0.976023976023976),
	chr21	36156781	chr21	36171588	36172570	0.987013	RARB,(1),NR4A2,(1),KLF3,(0.999000999000999),RARG,(0.999000999000999),ESRRA,(0.999000999000999),NR3C1,(0.998001998001998),PGR,(0.997002997002997),HES1,(0.996003996003996),MAF,(0.989010989010989),ESR1,(0.962037962037962),ESR2,(0.96003996003996),
	chr21	36156781	chr21	36186698	36187536	0.988012	MEIS1,(0.993006993006993),SNAI2,(0.989010989010989),NR6A1,(0.963036963036963),NR2C1,(0.958041958041958),KLF8,(0.89010989010989),NR2F6,(0.816183816183816),
	chr16	68023283	chr16	67549331	67550261	0.981019	NR2F1,(1),NR2F6,(0.998001998001998),MXI1,(0.989010989010989),ATOH1,(0.987012987012987),NR1H3,(0.963036963036963),GCM1,(0.946053946053946),RXRA,(0.925074925074925),RARA,(0.91008991008991),RXRB,(0.873126873126873),RORC,(0.801198801198801),
