Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Looping_prob	TFs(binding prob)
ARHGEF10L	chr1	17539697	chr1	17569325	17570285	0.8252	SMARCC1 (1.00), FOSL2 (1.00), TEAD1 (1.00), FOSL1 (1.00), BACH2 (1.00), FOSB (1.00), BACH1 (0.99), ATOH1 (0.99), JUN (0.96), FOS (0.92), JUND (0.85), 
ARL6IP6	chr2	152717647	chr2	152432109	152433057	0.8367	NR4A2 (0.80), 
ARSG	chr17	68259169	chr17	68291173	68292252	0.9078	MXI1 (0.92), MYC (0.88), MITF (0.87), SMARCC1 (0.86), 
ASB2	chr14	93976570	chr14	93959133	93960113	0.8624	SNAI2 (1.00), ESR2 (0.99), PPARG (0.99), KLF3 (0.99), SMARCC1 (0.98), JDP2 (0.98), FOSB (0.97), BACH1 (0.97), ATF3 (0.93), FOSL2 (0.91), FOSL1 (0.90), JUN (0.87), NR4A3 (0.85), HES1 (0.84), ZIC3 (0.82), 
ASCC2	chr22	29838274	chr22	29768069	29768833	0.8528	
ASCC2	chr22	29838274	chr22	29830249	29831173	0.8201	ZIC3 (0.90), PPARA (0.86), GLIS1 (0.81), 
ATP5F1E	chr20	59032335	chr20	59006731	59007691	0.9438	
BIN1	chr2	127107154	chr2	127052049	127052908	0.8315	NFE2 (0.91), ATOH1 (0.88), ESR2 (0.85), 
BIN1	chr2	127107154	chr2	127165124	127166104	0.8553	RORC (1.00), RARA (1.00), ZKSCAN4 (1.00), ZKSCAN3 (1.00), MTF1 (1.00), SNAI2 (0.98), TFCP2 (0.97), MYOD1 (0.97), MYF5 (0.88), ATF3 (0.84), 
BIN1	chr2	127107154	chr2	127170227	127171229	0.8699	CREB3L2 (1.00), ZNF784 (1.00), NR4A2 (1.00), NR4A3 (0.99), NR4A1 (0.99), NR2F1 (0.98), RXRA (0.97), HNF4A (0.97), NR2C1 (0.96), NR6A1 (0.93), HNF4G (0.93), RXRB (0.83), 
BMPR2	chr2	202376326	chr2	202281154	202282136	0.8431	BACH2 (0.99), JUNB (0.97), NR4A3 (0.96), JUN (0.95), FOSB (0.95), JDP2 (0.94), FOSL1 (0.92), KLF3 (0.91), BACH1 (0.91), SNAI2 (0.88), FOSL2 (0.82), 
BRI3	chr7	98281685	chr7	98285999	98287413	0.9047	MITF (0.92), HES1 (0.88), KLF3 (0.88), ESR1 (0.86), USF2 (0.83), SNAI2 (0.82), 
BSG	chr19	571282	chr19	584097	585067	0.9054	ZKSCAN4 (0.98), MYC (0.98), NR2C1 (0.97), KLF3 (0.97), RXRA (0.93), MAF (0.92), ESR2 (0.90), KLF8 (0.89), CREB3L2 (0.88), 
C16orf70	chr16	67109940	chr16	67177861	67178830	0.8796	KLF3 (0.84), NPAS2 (0.80), 
C19orf12	chr19	29715789	chr19	29708423	29709418	0.8847	ZIC1 (1.00), NR4A1 (1.00), BACH2 (1.00), ESRRB (1.00), ESRRG (1.00), PPARD (1.00), TCF7L2 (0.99), NR2F1 (0.99), ESRRA (0.99), NR3C1 (0.98), NR4A2 (0.98), HNF4G (0.95), HNF4A (0.94), ZIC3 (0.93), KLF8 (0.92), 
C3orf35	chr3	37386268	chr3	37243909	37244778	0.997	ZKSCAN4 (0.85), 
CALD1	chr7	134779633	chr7	134669704	134670668	0.8108	NR4A3 (0.96), NR4A2 (0.93), NR4A1 (0.92), HNF4G (0.90), 
CBFB	chr16	67029148	chr16	66935288	66935990	0.8851	
CBFB	chr16	67029148	chr16	67177861	67178830	0.9705	KLF3 (0.84), NPAS2 (0.80), 
CBR3	chr21	36135078	chr21	36171588	36172570	0.8685	NR4A2 (1.00), RARB (1.00), NR3C1 (1.00), KLF3 (0.99), ESRRA (0.99), HES1 (0.99), RARG (0.97), PGR (0.95), MAF (0.94), ESR2 (0.84), ESR1 (0.81), 
CBR3	chr21	36135078	chr21	36186698	36187536	0.9286	MEIS1 (0.93), NR2C1 (0.92), SNAI2 (0.91), NR6A1 (0.86), 
CD36	chr7	80602206	chr7	80603968	80604896	0.9391	CREB3L2 (0.96), NPAS2 (0.96), NR4A2 (0.95), MXI1 (0.94), MITF (0.81), 
CD36	chr7	80602206	chr7	80636423	80637283	0.9367	MEIS2 (1.00), PGR (0.93), TGIF2 (0.92), 
CD63	chr12	55729673	chr12	55680989	55681943	0.8492	PPARG (0.98), NR2E1 (0.98), ESR2 (0.96), FOSB (0.96), FOSL1 (0.94), SMARCC1 (0.94), NR1I2 (0.93), FOSL2 (0.93), BACH1 (0.89), JUN (0.89), JDP2 (0.87), HLTF (0.86), NR3C1 (0.83), 
CDHR3	chr7	105963263	chr7	105775730	105776652	0.9824	SMARCC1 (0.93), NR2C1 (0.92), NR4A1 (0.88), FOSL2 (0.87), BACH1 (0.85), ATF3 (0.85), FOSB (0.83), TCF7L2 (0.81), 
CDS2	chr20	5127007	chr20	5150401	5151327	0.9059	NFE2 (1.00), ESR1 (0.99), ATF3 (0.99), USF2 (0.95), MXI1 (0.94), TFEB (0.92), TGIF2 (0.87), 
CDS2	chr20	5127007	chr20	5156272	5157242	0.8793	NR4A1 (1.00), RXRA (1.00), KLF8 (1.00), PPARD (1.00), NR3C1 (1.00), RXRG (0.99), NR1I2 (0.98), MTF1 (0.94), NR2F6 (0.90), FOSB (0.89), RXRB (0.85), 
CEBPD	chr8	47738164	chr8	47659242	47660209	0.9838	ESR1 (0.98), NR6A1 (0.97), RORA (0.93), PPARG (0.92), NR5A1 (0.87), 
CERT1	chr5	75511981	chr5	75363425	75364380	0.8624	NR4A2 (0.90), TEAD1 (0.85), TCF7L2 (0.85), NR1I3 (0.84), 
CES3	chr16	66961265	chr16	66935288	66935990	0.9767	
CES3	chr16	66961265	chr16	67177861	67178830	0.9949	KLF3 (0.84), NPAS2 (0.80), 
CHKA	chr11	68121388	chr11	68033374	68034296	0.8212	JUNB (0.84), 
CKMT2-AS1	chr5	81301569	chr5	81234876	81235885	0.9441	NPAS2 (0.97), CREB3L2 (0.93), MXI1 (0.91), SMARCC1 (0.90), MYC (0.89), TCF7L2 (0.88), PPARG (0.88), FOSL1 (0.87), ESR2 (0.83), MEIS1 (0.82), NR3C1 (0.80), 
CKMT2-AS1	chr5	81301569	chr5	81244787	81245616	0.9367	MEIS2 (0.86), 
CLIC5	chr6	46129819	chr6	45998080	45999092	0.9071	ATOH1 (0.93), SNAI2 (0.93), HNF4G (0.90), NR2E1 (0.89), 
CLIC5	chr6	46129819	chr6	46170554	46171522	0.8726	ZNF219 (0.87), 
COG3	chr13	45464938	chr13	45433043	45433999	0.8487	RORC (1.00), NR4A2 (0.99), RXRA (0.99), NR3C1 (0.98), 
COLQ	chr3	15521706	chr3	15319246	15320180	0.8002	NR4A3 (1.00), ESRRA (1.00), NR4A2 (1.00), RORA (0.99), PPARA (0.99), TGIF2 (0.99), NR4A1 (0.99), ATOH1 (0.95), RORC (0.93), PPARD (0.87), NR1I2 (0.83), 
COQ3	chr6	99394195	chr6	99393546	99394521	0.9339	NR4A2 (0.81), 
CPEB4	chr5	173888348	chr5	173657657	173658623	0.8726	RARA (1.00), ESRRG (1.00), SMARCC1 (1.00), ESRRB (1.00), NR4A2 (0.99), NR4A1 (0.99), NR4A3 (0.99), ESRRA (0.98), NR5A2 (0.92), NR1H3 (0.85), 
CPEB4	chr5	173888348	chr5	173766114	173767005	0.8837	MXI1 (0.91), CREB3L2 (0.85), HEY1 (0.85), TCF7L2 (0.83), 
CPEB4	chr5	173888348	chr5	173954632	173955623	0.8783	RORC (0.99), JDP2 (0.98), MEIS1 (0.98), BACH2 (0.97), HES1 (0.97), SMARCC1 (0.96), FOSL1 (0.96), TCF7L2 (0.94), NR4A2 (0.93), FOSB (0.91), FOSL2 (0.90), BACH1 (0.88), JUN (0.88), SNAI2 (0.86), 
CREBBP	chr16	3880713	chr16	3745705	3746694	0.8141	MYC (1.00), MYOD1 (1.00), ESR1 (0.99), FOSL1 (0.99), NR2E1 (0.99), RARA (0.98), ZNF691 (0.98), ESR2 (0.97), MXI1 (0.96), NR4A3 (0.96), FOSB (0.95), BACH2 (0.93), CREB3L2 (0.93), MYF5 (0.92), PGR (0.90), TEAD1 (0.84), ZIC1 (0.82), MITF (0.82), NR4A2 (0.81), 
CRK	chr17	1456232	chr17	1459975	1460905	0.8885	BACH2 (0.89), ZNF219 (0.86), FOSL1 (0.85), JUND (0.82), JUN (0.81), 
CRK	chr17	1456232	chr17	1586899	1587849	0.9015	MEIS2 (0.88), NR4A2 (0.88), ESRRG (0.86), TEAD1 (0.84), NR4A1 (0.83), NR4A3 (0.82), ESRRB (0.82), TP73 (0.80), 
CRK	chr17	1456232	chr17	1647154	1647934	0.8628	SNAI2 (0.96), NR2E1 (0.90), 
CRTC1	chr19	18683679	chr19	18506676	18507598	0.8327	TFEB (0.83), NR4A3 (0.80), 
CRTC1	chr19	18683679	chr19	18648806	18650232	0.8269	TEAD1 (0.93), NR3C1 (0.93), ATOH1 (0.91), TP73 (0.88), OSR1 (0.87), ZIC1 (0.81), 
CRTC1	chr19	18683679	chr19	18650244	18651253	0.868	MAF (1.00), CREB3L2 (1.00), FOSL1 (1.00), BACH2 (1.00), ESR2 (1.00), NR2C1 (1.00), BACH1 (1.00), HES1 (1.00), ZIC3 (1.00), ESR1 (1.00), NR4A1 (1.00), TFEB (1.00), NR4A3 (1.00), FOSB (0.99), JDP2 (0.99), NR4A2 (0.99), SMARCC1 (0.99), JUN (0.99), JUNB (0.99), FOSL2 (0.98), NFE2 (0.98), MITF (0.97), 
CTNNA1	chr5	138753385	chr5	138753967	138754767	0.8714	KLF3 (0.93), NR4A2 (0.89), RARA (0.87), NR2F1 (0.80), 
DCAKD	chr17	45061131	chr17	45018883	45019909	0.8927	HNF4G (0.85), ESRRG (0.82), ESRRB (0.80), 
DCAKD	chr17	45061131	chr17	45040627	45041609	0.8039	NR2E1 (0.99), HES1 (0.97), ZIC3 (0.84), 
DHRS7B	chr17	21126927	chr17	21041661	21042464	0.8675	
DHRS7B	chr17	21126927	chr17	21165768	21166756	0.832	RARA (0.88), RORA (0.82), MEIS1 (0.81), TEAD1 (0.81), 
DLAT	chr11	112025407	chr11	111988409	111989364	0.8952	JUN (0.93), BACH1 (0.82), 
DLAT	chr11	112025407	chr11	112100141	112101061	0.912	MAF (0.82), 
DLGAP4	chr20	36306338	chr20	36463632	36464451	0.9043	RORC (1.00), RXRA (0.99), RXRG (0.99), KLF3 (0.99), RORA (0.98), NR4A1 (0.97), NR4A3 (0.96), PPARD (0.96), NR4A2 (0.96), NR2F6 (0.93), 
DLGAP4	chr20	36306338	chr20	36480498	36481354	0.9686	KLF8 (0.90), 
DOP1B	chr21	36156781	chr21	36171588	36172570	0.8873	NR4A2 (1.00), RARB (1.00), NR3C1 (1.00), KLF3 (0.99), ESRRA (0.99), HES1 (0.99), RARG (0.97), PGR (0.95), MAF (0.94), ESR2 (0.84), ESR1 (0.81), 
DOP1B	chr21	36156781	chr21	36186698	36187536	0.9472	MEIS1 (0.93), NR2C1 (0.92), SNAI2 (0.91), NR6A1 (0.86), 
DUS2	chr16	68023283	chr16	67549331	67550261	0.9297	NR2F1 (0.99), MXI1 (0.98), NR2F6 (0.95), ATOH1 (0.95), NR1H3 (0.84), GCM1 (0.83), RXRA (0.80), 
DUSP3	chr17	43778977	chr17	43774642	43775628	0.9	ESRRB (0.85), OSR1 (0.81), 
EIF3A	chr10	119080817	chr10	119003201	119004235	0.8603	MYOD1 (1.00), MEIS2 (0.99), RARA (0.98), TCF7L2 (0.96), NR1I3 (0.94), TGIF2 (0.93), NR1H2 (0.92), HLTF (0.83), 
EIF3A	chr10	119080817	chr10	119020282	119021217	0.8724	
EIF3A	chr10	119080817	chr10	119032273	119033273	0.8868	NR2F1 (0.95), NR6A1 (0.95), ZNF219 (0.92), ESRRA (0.90), ESRRG (0.87), ZKSCAN4 (0.84), NR4A3 (0.82), KLF8 (0.82), NR4A1 (0.81), 
ENDOD1	chr11	95089845	chr11	95096049	95096986	0.8652	RARA (0.94), GCM1 (0.89), FOSL2 (0.89), FOSB (0.88), BACH1 (0.88), NR4A2 (0.87), MEIS1 (0.83), SMARCC1 (0.82), NR2C1 (0.82), FOSL1 (0.81), 
ENO1	chr1	8878686	chr1	8424528	8425385	0.8845	TCF7L2 (0.91), NR4A3 (0.90), PPARA (0.89), NR4A2 (0.87), 
ENPP5	chr6	46171010	chr6	45998080	45999092	0.8364	ATOH1 (0.93), SNAI2 (0.93), HNF4G (0.90), NR2E1 (0.89), 
ENPP5	chr6	46171010	chr6	46170554	46171522	0.9877	ZNF219 (0.87), 
ENPP5	chr6	46171010	chr6	46172055	46172942	0.9069	NPAS2 (1.00), PPARG (0.99), SNAI2 (0.93), NR3C1 (0.90), TCF7L2 (0.90), RORA (0.81), 
ERAP1	chr5	96814145	chr5	97061718	97062793	0.8155	CREB3L2 (1.00), NR1I2 (0.98), NPAS2 (0.98), MYC (0.98), MXI1 (0.98), NR4A2 (0.97), TCF7L2 (0.96), NR1I3 (0.96), NR4A3 (0.94), NR2F1 (0.93), ESR2 (0.92), TP73 (0.88), RXRA (0.87), HNF4G (0.86), 
ETV6	chr12	11649673	chr12	11797030	11797960	0.9751	KLF3 (0.94), RORC (0.93), ESRRB (0.91), NR1H3 (0.87), 
FABP3	chr1	31373288	chr1	31361651	31362638	0.9938	NR2E1 (0.98), TCF7L2 (0.91), MYOD1 (0.89), 
FAM110B	chr8	57994522	chr8	58078649	58079585	0.8858	NR4A1 (0.99), JUNB (0.98), SNAI2 (0.97), BACH2 (0.97), NR4A3 (0.95), FOSL1 (0.94), FOSB (0.92), JUN (0.92), HES1 (0.92), FOSL2 (0.91), NR2E1 (0.87), ESRRA (0.87), MYF5 (0.87), ESRRB (0.85), JUND (0.81), 
FAM181A	chr14	93918893	chr14	93927254	93928192	0.9788	RORC (0.98), NFE2 (0.96), KLF3 (0.88), KLF8 (0.80), 
FAM181A-AS1	chr14	93926372	chr14	93927254	93928192	0.9296	RORC (0.98), NFE2 (0.96), KLF3 (0.88), KLF8 (0.80), 
FARP1	chr13	98142588	chr13	98171884	98172856	0.9629	KLF3 (0.86), MAF (0.82), 
FARP1	chr13	98142588	chr13	98173405	98174247	0.8782	RORC (1.00), ESRRG (1.00), NR4A2 (1.00), PPARD (1.00), MITF (1.00), RORA (1.00), ESRRB (1.00), NR1I3 (0.99), TEAD1 (0.99), TFCP2 (0.99), TCF7L2 (0.99), RORB (0.99), NR4A3 (0.99), ESRRA (0.99), NR2F1 (0.98), NR4A1 (0.97), NR5A2 (0.93), ESR1 (0.83), 
FN3K	chr17	82735614	chr17	82888657	82889614	0.8837	MXI1 (0.98), NR4A2 (0.95), HEY1 (0.95), PPARG (0.93), TCF7L2 (0.92), TFCP2 (0.91), KLF3 (0.91), TFEB (0.89), NR2F2 (0.87), NR4A3 (0.87), ZNF219 (0.83), MYC (0.82), 
FNBP1L	chr1	93448117	chr1	93553836	93554701	0.9075	NR2F6 (0.96), NR3C1 (0.85), RXRA (0.81), 
GALNT18	chr11	11622005	chr11	11532354	11533284	0.9965	RARA (0.95), CREB3L1 (0.94), TGIF2 (0.92), NR4A2 (0.91), NR4A3 (0.90), NR4A1 (0.88), 
GAPDH	chr12	6534516	chr12	6541293	6542158	0.9043	
GAPDH	chr12	6534516	chr12	6869252	6870140	0.9076	
GIT2	chr12	109996368	chr12	109927794	109928760	0.8717	NR1I3 (0.96), CREB3L1 (0.95), RARB (0.93), 
GOLGA4	chr3	37243270	chr3	37243909	37244778	0.9603	ZKSCAN4 (0.85), 
GOT1	chr10	99430624	chr10	99392220	99393162	0.9459	KLF3 (0.91), MTF1 (0.90), TEAD1 (0.85), 
GOT1	chr10	99430624	chr10	99433070	99434002	0.9859	
GOT2	chr16	58734316	chr16	58704949	58705850	0.877	MITF (0.95), KLF8 (0.91), TFEB (0.90), RARA (0.88), NR4A1 (0.85), RORA (0.85), ESRRG (0.80), 
GOT2	chr16	58734316	chr16	58732521	58733646	0.8841	RORC (0.91), ESRRG (0.90), ESRRA (0.89), SMARCC1 (0.89), ESR1 (0.86), NR4A3 (0.86), ESR2 (0.85), KLF3 (0.83), BACH1 (0.82), 
GOT2	chr16	58734316	chr16	58733782	58734645	0.9852	
GPR157	chr1	9129102	chr1	9127152	9128031	0.9288	RARA (0.95), ZKSCAN4 (0.93), KLF3 (0.93), TEAD1 (0.89), NR4A2 (0.88), ESRRB (0.85), NR4A1 (0.82), RORA (0.81), 
HADHB	chr2	26244747	chr2	26251545	26252484	0.9643	NR4A2 (0.96), MEIS2 (0.95), ESRRG (0.90), 
HHATL	chr3	42702798	chr3	42729461	42730412	0.8984	MITF (0.98), ATOH1 (0.97), TCF7L2 (0.92), TFEB (0.84), 
HMGN2	chr1	26472439	chr1	26224812	26225856	0.8309	PPARG (0.86), ZKSCAN4 (0.81), 
HOOK2	chr19	12775552	chr19	12788275	12789092	0.871	RARA (0.98), PPARG (0.94), ESR2 (0.94), PPARA (0.89), 
HSPA1A	chr6	31815542	chr6	31819369	31820087	0.8431	NR2C1 (0.97), NR1I2 (0.83), 
IAH1	chr2	9474550	chr2	9474195	9475166	0.9327	PPARG (0.88), 
IBTK	chr6	82247744	chr6	81749202	81750225	0.8662	MEIS1 (0.99), NR4A3 (0.97), TCF7L2 (0.96), PPARD (0.89), NR3C1 (0.87), HLTF (0.86), TGIF2 (0.84), 
IQCH	chr15	67254785	chr15	67068361	67069296	0.8027	RARA (0.99), CREB3L2 (0.98), KLF3 (0.97), PPARA (0.89), TP73 (0.89), PPARD (0.85), TFCP2 (0.84), 
ITGB1BP1	chr2	9423569	chr2	9474195	9475166	0.9751	PPARG (0.88), 
KIF16B	chr20	16573448	chr20	16540973	16541899	0.8684	NR2F1 (0.87), NR1I3 (0.83), 
KSR1	chr17	27456447	chr17	27593258	27594384	0.9609	GLI1 (0.98), TGIF2 (0.98), NR2E1 (0.96), NR1I3 (0.95), MYOD1 (0.93), NR1I2 (0.88), TEAD1 (0.87), ESRRG (0.81), 
LANCL2	chr7	55365447	chr7	55439890	55440897	0.8314	RORC (1.00), SMARCC1 (1.00), PPARG (1.00), RORA (0.99), ESRRG (0.99), ESRRB (0.99), ESRRA (0.98), NR3C1 (0.97), ESR2 (0.96), ESR1 (0.95), PPARA (0.92), NR4A1 (0.90), 
LARGE1	chr22	33922888	chr22	33883676	33884803	0.8873	BACH2 (1.00), SNAI2 (0.99), MEIS1 (0.99), FOSL2 (0.99), JUN (0.99), RORA (0.98), RORC (0.98), JUNB (0.97), FOSB (0.97), JDP2 (0.97), FOSL1 (0.97), SMARCC1 (0.97), ESRRA (0.94), BACH1 (0.93), HNF4A (0.92), 
LIMD1	chr3	45594750	chr3	45604762	45605720	0.8699	JDP2 (0.95), RARA (0.95), HLTF (0.92), NR2F2 (0.92), NR3C1 (0.91), JUN (0.89), KLF8 (0.88), TP73 (0.85), NR2E1 (0.80), 
LINC01968	chr3	194708420	chr3	194852798	194853771	0.999	ESRRG (0.91), MYOD1 (0.90), ESRRB (0.83), 
LMBRD1	chr6	69797010	chr6	69734772	69735687	0.8822	ZKSCAN4 (0.89), 
LNPEP	chr5	96936079	chr5	97061718	97062793	0.8554	CREB3L2 (1.00), NR1I2 (0.98), NPAS2 (0.98), MYC (0.98), MXI1 (0.98), NR4A2 (0.97), TCF7L2 (0.96), NR1I3 (0.96), NR4A3 (0.94), NR2F1 (0.93), ESR2 (0.92), TP73 (0.88), RXRA (0.87), HNF4G (0.86), 
LPIN1	chr2	11677543	chr2	11752964	11754888	0.9431	NR1I2 (0.97), SMARCC1 (0.93), ZIC1 (0.91), NFE2 (0.91), NR4A2 (0.90), 
LPIN1	chr2	11677543	chr2	11807097	11808095	0.9804	RARA (0.88), NR4A3 (0.82), NFE2 (0.80), 
LPIN1	chr2	11677543	chr2	11820969	11822061	0.9803	
LPIN1	chr2	11677543	chr2	11829673	11830652	0.8961	RARA (1.00), ATOH1 (1.00), SMARCC1 (0.99), FOSL1 (0.98), JUN (0.98), JUNB (0.97), JDP2 (0.97), TP73 (0.92), FOSL2 (0.91), BACH1 (0.90), 
LRIG2-DT	chr1	113073102	chr1	112982764	112983731	0.8984	NR4A3 (0.88), TEAD1 (0.84), ESRRA (0.83), ESRRG (0.82), 
LRIG2-DT	chr1	113073102	chr1	112992505	112993467	0.8511	ZKSCAN3 (0.94), TCF7L2 (0.89), JUN (0.87), ZKSCAN4 (0.83), 
LRIG2-DT	chr1	113073102	chr1	112995622	112996555	0.8786	BACH2 (0.96), RARA (0.95), NR4A3 (0.94), JUN (0.90), BACH1 (0.88), 
LRIG2-DT	chr1	113073102	chr1	113000316	113001259	0.8572	TP73 (1.00), SNAI2 (0.98), MITF (0.92), 
MAEA	chr4	1289890	chr4	1172943	1173886	0.8648	ZKSCAN4 (0.99), NR2C1 (0.94), RORC (0.90), NR4A3 (0.87), ESR1 (0.87), KLF8 (0.87), 
MAN1C1	chr1	25617467	chr1	25549145	25550151	0.961	MEIS2 (0.95), BACH2 (0.82), FOSL2 (0.80), JUN (0.80), 
MAN1C1	chr1	25617467	chr1	25744148	25744665	0.9952	
MAN1C1	chr1	25617467	chr1	25786522	25787522	0.9351	JDP2 (0.93), MITF (0.91), BACH1 (0.85), JUN (0.81), FOSL2 (0.80), 
MAP2K3	chr17	21284710	chr17	21021116	21022179	0.9566	NR2C1 (0.92), ESRRB (0.91), USF2 (0.86), 
MAP2K3	chr17	21284710	chr17	21041661	21042464	0.9935	
MAP2K3	chr17	21284710	chr17	21165768	21166756	0.972	RARA (0.88), RORA (0.82), MEIS1 (0.81), TEAD1 (0.81), 
MAP3K2	chr2	127388465	chr2	127052049	127052908	0.8891	NFE2 (0.91), ATOH1 (0.88), ESR2 (0.85), 
MAP3K2	chr2	127388465	chr2	127165124	127166104	0.8667	RORC (1.00), RARA (1.00), ZKSCAN4 (1.00), ZKSCAN3 (1.00), MTF1 (1.00), SNAI2 (0.98), TFCP2 (0.97), MYOD1 (0.97), MYF5 (0.88), ATF3 (0.84), 
MAP3K2	chr2	127388465	chr2	127170227	127171229	0.8707	CREB3L2 (1.00), ZNF784 (1.00), NR4A2 (1.00), NR4A3 (0.99), NR4A1 (0.99), NR2F1 (0.98), RXRA (0.97), HNF4A (0.97), NR2C1 (0.96), NR6A1 (0.93), HNF4G (0.93), RXRB (0.83), 
MAP4K3	chr2	39437285	chr2	39356691	39357702	0.8543	NR2F1 (0.99), ZNF691 (0.98), RXRA (0.95), MITF (0.91), 
MAP4K3	chr2	39437285	chr2	39512032	39513001	0.8518	JUND (1.00), NR4A2 (0.99), PPARG (0.99), ZNF784 (0.99), MXI1 (0.98), RXRB (0.98), TCF7L2 (0.98), HNF4A (0.97), NR2F2 (0.97), JUN (0.96), NR4A1 (0.96), PPARA (0.93), NR4A3 (0.91), RXRA (0.89), PPARD (0.86), 
MAPT-AS1	chr17	45895513	chr17	45906664	45907436	0.9994	NR4A1 (0.95), NR1I3 (0.94), 
MCF2L2	chr3	183428269	chr3	183392089	183393067	0.8756	ZKSCAN4 (1.00), HNF4G (0.99), KLF3 (0.99), HES1 (0.98), HNF4A (0.97), NR1H3 (0.95), TFEB (0.95), ATOH1 (0.91), ZNF784 (0.83), 
MCRIP2	chr16	641827	chr16	645595	646504	0.8602	ATOH1 (0.81), PPARD (0.80), 
MFN2	chr1	11980180	chr1	11989260	11990066	0.8634	NPAS2 (0.97), MYCN (0.93), MYC (0.89), TCF7L2 (0.86), MXI1 (0.85), ATF3 (0.85), 
MIR1-1HG	chr20	62550452	chr20	62555145	62556175	0.8849	HNF4G (0.92), ESR1 (0.90), PPARD (0.88), PPARA (0.85), MYOD1 (0.82), HIC1 (0.81), 
MORC3	chr21	36320188	chr21	36171588	36172570	0.8525	NR4A2 (1.00), RARB (1.00), NR3C1 (1.00), KLF3 (0.99), ESRRA (0.99), HES1 (0.99), RARG (0.97), PGR (0.95), MAF (0.94), ESR2 (0.84), ESR1 (0.81), 
MORC3	chr21	36320188	chr21	36186698	36187536	0.8581	MEIS1 (0.93), NR2C1 (0.92), SNAI2 (0.91), NR6A1 (0.86), 
MPC1	chr6	166382940	chr6	166381549	166382294	0.9968	
MTPAP	chr10	30349338	chr10	30000603	30001637	0.8591	HEY1 (1.00), NPAS2 (1.00), BACH2 (1.00), MEIS1 (1.00), NR4A3 (0.99), RXRA (0.99), ESR2 (0.99), JUN (0.99), KLF3 (0.98), NR2C1 (0.98), NR4A2 (0.98), PPARD (0.96), NR4A1 (0.94), NR2F1 (0.93), HNF4G (0.92), NR2F6 (0.86), 
NAMA	chr9	99375257	chr9	99261702	99262661	0.9901	ATOH1 (1.00), ZIC1 (0.99), NR2F6 (0.98), NR1H3 (0.93), NR6A1 (0.89), 
